Branch,Total Sales WT,Date
2AMALAPURAM,102450,1-Apr-2023
2AMALAPURAM,185482,2-Apr-2023
2AMALAPURAM,207088,3-Apr-2023
2AMALAPURAM,195484,4-Apr-2023
2AMALAPURAM,162124,5-Apr-2023
2AMALAPURAM,162996,6-Apr-2023
2AMALAPURAM,185005,7-Apr-2023
2AMALAPURAM,128342,8-Apr-2023
2AMALAPURAM,137893,9-Apr-2023
2AMALAPURAM,149011,10-Apr-2023
2AMALAPURAM,162371,11-Apr-2023
2AMALAPURAM,139837,12-Apr-2023
2AMALAPURAM,170344,13-Apr-2023
2AMALAPURAM,167042,14-Apr-2023
2AMALAPURAM,107616,15-Apr-2023
2AMALAPURAM,187531,16-Apr-2023
2AMALAPURAM,156392,17-Apr-2023
2AMALAPURAM,126639,18-Apr-2023
2AMALAPURAM,115239,19-Apr-2023
2AMALAPURAM,142341,20-Apr-2023
2AMALAPURAM,167601,21-Apr-2023
2AMALAPURAM,115490,22-Apr-2023
2AMALAPURAM,143265,23-Apr-2023
2AMALAPURAM,139330,24-Apr-2023
2AMALAPURAM,138168,25-Apr-2023
2AMALAPURAM,118969,26-Apr-2023
2AMALAPURAM,122270,27-Apr-2023
2AMALAPURAM,159786,28-Apr-2023
2AMALAPURAM,111503,29-Apr-2023
2AMALAPURAM,152368,30-Apr-2023
2AMALAPURAM,155014,1-May-2023
2AMALAPURAM,167777,2-May-2023
2AMALAPURAM,154057,3-May-2023
2AMALAPURAM,184424,4-May-2023
2AMALAPURAM,164088,5-May-2023
2AMALAPURAM,140839,6-May-2023
2AMALAPURAM,197768,7-May-2023
2AMALAPURAM,189071,8-May-2023
2AMALAPURAM,178916,9-May-2023
2AMALAPURAM,142305,10-May-2023
2AMALAPURAM,149519,11-May-2023
2AMALAPURAM,158137,12-May-2023
2AMALAPURAM,121378,13-May-2023
2AMALAPURAM,156958,14-May-2023
2AMALAPURAM,184527,15-May-2023
2AMALAPURAM,139513,16-May-2023
2AMALAPURAM,119543,17-May-2023
2AMALAPURAM,140118,18-May-2023
2AMALAPURAM,121540,19-May-2023
2AMALAPURAM,110259,20-May-2023
2AMALAPURAM,165704,21-May-2023
2AMALAPURAM,143537,22-May-2023
2AMALAPURAM,141074,23-May-2023
2AMALAPURAM,121000,24-May-2023
2AMALAPURAM,125959,25-May-2023
2AMALAPURAM,146944,26-May-2023
2AMALAPURAM,99109,27-May-2023
2AMALAPURAM,135447,28-May-2023
2AMALAPURAM,128976,29-May-2023
2AMALAPURAM,140555,30-May-2023
2AMALAPURAM,129537,31-May-2023
2AMALAPURAM,177927,1-Jun-2023
2AMALAPURAM,177317,2-Jun-2023
2AMALAPURAM,151265,3-Jun-2023
2AMALAPURAM,203517,4-Jun-2023
